79,600875,东方电气,详细,0.17,165亿,7.57,50.86,5.14亿,5.81,40.76,8.8394,1.93,0.2395,16.11,不分配不转增,输配电气,08-31,http://data.eastmoney.com/bbsj/600875.html
80,600870,*ST厦华,详细,-0.0124,1936万,593.45,-89.29,-649万,-144.72,-46.76,-0.006,-,0.0225,6.66,不分配不转增,电子信息,08-31,http://data.eastmoney.com/bbsj/600870.html
81,000670,盈方微,详细,-0.057,7532万,-52.30,30.34,-4654万,-1041.71,-68.48,0.3994,-13.34,-0.0114,9.22,不分配不转增,电子信息,08-31,http://data.eastmoney.com/bbsj/000670.html
82,000669,金鸿控股,详细,0.27,20.48亿,25.12,7.30,1.82亿,5.39,10.89,6.3256,4.32,0.5177,21.51,不分配不转增,公用事业,08-31,http://data.eastmoney.com/bbsj/000669.html
83,000657,中钨高新,详细,0.1171,38.15亿,24.36,18.15,7363万,25.53,-71.91,5.0434,2.35,-0.488,19.77,不分配不转增,有色金属,08-31,http://data.eastmoney.com/bbsj/000657.html
84,000652,泰达股份,详细,0.0288,66.22亿,-11.26,-18.42,4257万,16.88,525.01,2.5442,1.12,0.3733,3.33,不分配不转增,综合行业,08-31,http://data.eastmoney.com/bbsj/000652.html
85,000651,格力电器,详细,2.13,920亿,31.40,29.87,128亿,35.48,29.43,13.0198,17.80,1.486,30.03,10派6.00,家电行业,08-31,http://data.eastmoney.com/bbsj/000651.html
86,000627,天茂集团,详细,0.17,202亿,-47.25,-72.36,8.48亿,35.42,50.47,3.8292,4.43,2.3369,-,10派0.30,保险,08-31,http://data.eastmoney.com/bbsj/000627.html
87,000626,远大控股,详细,-0.0621,311亿,-36.10,10.24,-3719万,-115.05,72.63,4.2008,-1.47,-2.4099,0.90,不分配不转增,国际贸易,08-31,http://data.eastmoney.com/bbsj/000626.html
88,000616,海航投资,详细,-0.06,8958万,137.50,414.63,-8677万,-324.93,36.08,2.6988,-2.21,0.1746,13.93,不分配不转增,房地产,08-31,http://data.eastmoney.com/bbsj/000616.html
89,000611,天首发展,详细,-0.0922,1409万,-52.79,74.21,-2968万,-254.12,-132.96,1.5173,-5.90,0.2829,-14.23,不分配不转增,有色金属,08-31,http://data.eastmoney.com/bbsj/000611.html
90,000610,西安旅游,详细,-0.0283,3.36亿,7.51,108.92,-671万,7.71,68.48,3.2441,-0.87,-0.2457,6.53,不分配不转增,旅游酒店,08-31,http://data.eastmoney.com/bbsj/000610.html
91,000606,顺利办,详细,0.0784,3.30亿,46.27,20.43,6005万,255.92,-54.85,3.6881,2.16,-0.1383,29.20,不分配不转增,软件服务,08-31,http://data.eastmoney.com/bbsj/000606.html
92,000601,韶能股份,详细,0.1888,16.63亿,-7.68,23.69,2.04亿,-36.69,1.77,4.0923,4.48,0.252,23.61,不分配不转增,电力行业,08-31,http://data.eastmoney.com/bbsj/000601.html
93,000593,大通燃气,详细,0.027,3.06亿,36.98,12.60,963万,3.12,367.61,3.1317,0.87,0.0771,22.64,不分配不转增,公用事业,08-31,http://data.eastmoney.com/bbsj/000593.html
94,600856,中天能源,详细,0.1336,29.26亿,-14.66,-21.22,1.64亿,-39.68,-76.54,3.5816,3.31,0.1114,22.14,不分配不转增,石油行业,08-31,http://data.eastmoney.com/bbsj/600856.html
95,600853,龙建股份,详细,0.0358,24.66亿,-18.02,219.70,2114万,11.33,547.04,2.2112,1.77,-1.0866,11.20,10派0.10,工程建设,08-31,http://data.eastmoney.com/bbsj/600853.html
96,900924,上工B股,详细,0.1826,14.95亿,-2.46,13.13,1.00亿,-20.49,20.18,4.0361,4.56,-0.1052,29.59,不分配不转增,机械行业,08-31,http://data.eastmoney.com/bbsj/900924.html
