scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
600319,亚星化学,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-31T00:00:00,-,-,2018-08-31T00:00:00,058001001,069001001001
600686,金龙汽车,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
000989,九芝堂,深交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002001
000983,西山煤电,深交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002001
600572,康恩贝,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-08T00:00:00,-,-,2018-08-08T00:00:00,058001001,069001001001
600246,万通地产,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
002254,泰和新材,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
002184,海得控制,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
002182,云海金属,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
002139,拓邦股份,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002003
300172,中电环保,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
600885,宏发股份,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
000703,恒逸石化,深交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-28T00:00:00,-,-,2018-08-28T00:00:00,058001001,069001002001
600734,实达集团,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
603882,金域医学,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-10T00:00:00,-,-,2018-08-10T00:00:00,058001001,069001001001
300584,海辰药业,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
603501,韦尔股份,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
300570,太辰光,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300508,维宏股份,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
002829,星网宇达,深交所中小板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-27T00:00:00,-,-,2018-08-27T00:00:00,058001001,069001002003
300497,富祥股份,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
300572,安车检测,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001002002
603025,大豪科技,上交所主板,2018-06-30T00:00:00,2018-07-31T00:00:00,-,-,-,2018-07-31T00:00:00,058001001,069001001001
300374,恒通科技,深交所创业板,2018-06-30T00:00:00,2018-07-31T00:00:00,2018-08-23T00:00:00,-,-,2018-08-23T00:00:00,058001001,069001002002
