scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode
002062,宏润建设,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.14,4094112913.43,9.463623912126467,-6.732325269443601,3740158389.71,152729579.33,26.70162517678897,-12.114151366193267,120542715.31,2.58,5.42,工程建设,058001001,069001002003
002055,得润电子,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.1181,3630087051.49,50.62513739822093,13.025235990695098,2410014101.36,55427112.97,-39.51667995641974,-31.98052181717565,91640328.16,5.3262,2.27,电子元件,058001001,069001002003
002140,东华科技,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.1655,1181607164.06,39.54189917143485,92.26895335260063,846775893.89,73799471.24,9.857999102264348,83.05832889459148,67177148.54,4.54,3.71,工程建设,058001001,069001002003
002061,浙江交科,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.51,10543710000.0,43.03791943354591,41.92479711955392,7371269130.42,670979300.0,69.45283878365261,25.00121961800581,395968167.2,4.55,11.47,工程建设,058001001,069001002003
002302,西部建设,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.06,8166616654.31,31.036655945085727,72.25613371134814,6232314611.06,79517396.31,533.0837620598572,264.98575223557157,-18360742.95,4.99,1.25,水泥建材,058001001,069001002003
002033,丽江旅游,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.2156,337511191.32,5.841138533251056,48.14741767647859,318884694.55,118487011.62,18.569643124431455,56.89231143959408,99930309.73,4.3,4.97,旅游酒店,058001001,069001002003
002027,分众传媒,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.23,7110000000.0,26.048934159157554,40.236617569902194,5640666497.84,3347000000.0,32.13816167785923,77.19340975293659,2532954868.98,0.85,28.24,电子信息,058001001,069001002003
002024,苏宁易购,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.65,110786328000.0,32.28870471715555,23.267956384985965,83745871000.0,5997179000.0,1957.3795180722893,5191.352697393853,291496000.0,8.58,7.56,商业百货,058001001,069001002003
002023,海特高新,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.04,210636558.8,0.47979247437007766,4.159647750758426,209630766.16,30051622.87,30.21405620557228,-116.19836997810968,23078632.02,4.57,0.86,航天航空,058001001,069001002003
002012,凯恩股份,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.02,542260038.73,15.96903195467982,4.82837378280963,467590381.32,10264374.46,-53.00107057036302,-12.138686659066545,21839592.06,2.61,0.84,造纸印刷,058001001,069001002003
002672,东江环保,A股,深交所中小板,2018-07-31T00:00:00,2018-06-30T00:00:00,0.3,1662134708.97,18.427521063923148,19.217777938215892,1403503758.28,266063486.33,20.857115028093524,19.085885593419516,220147143.4,4.36,6.89,环保工程,058001001,069001002003
