scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,parentnetprofit,totaloperatereve,totaloperateexp,totaloperateexp_tb,operateexp,operateexp_tb,saleexp,manageexp,financeexp,operateprofit,sumprofit,incometax,operatereve,intnreve,intnreve_tb,commnreve,commnreve_tb,operatetax,operatemanageexp,commreve_commexp,intreve_intexp,premiumearned,premiumearned_tb,investincome,surrenderpremium,indemnityexp,tystz,yltz,sjltz,kcfjcxsyjlr,sjlktz,eutime,yyzc
000979,016017,10001229,中弘股份,房地产,002,001,2,szzb,2018-09-18T00:00:00,2018-06-30T00:00:00,-1326373837.22,2477339137.56,3929213365.76,0.788352224155364,1959362076.77,0.110447464132084,176675199.62,562330293.79,1096314575.19,-1377630417.57,-1375061557.17,3416189.83,-,-,-,-,-,8411287.21,-,-,-,-,-,-,-,-,0.090421,-20.6548,-46.253872,-1329122013.22,-37.6420105451,2018/9/17 18:35:19,1959362076.77
002280,016057,80124453,联络互动,软件服务,002,001,2,zxb,2018-09-18T00:00:00,2018-06-30T00:00:00,153543950.44,7551780721.37,7820192687.57,1.05128999337363,6483276003.89,1.14749698121528,821619226.82,394309388.99,98056172.42,184367281.59,185344676.8,57949773.34,-,-,-,-,-,11590842.94,-,-,-,-,-,-,-,-,1.002907,1.373243,3.881555,-211267572.64,-2.2598016045,2018/9/17 17:15:41,6483276003.89
300150,016014,10002559,世纪瑞尔,电子信息,002,001,2,cyb,2018-09-17T00:00:00,2018-06-30T00:00:00,91692351.79,190512700.52,224649075.08,0.440700525896214,100528474.78,0.118194101180747,49772610.21,67898096.73,1553265.49,29145103.41,105070250.1,15366705.44,-,-,-,-,-,1528363.13,-,-,-,-,-,-,-,-,0.379988,2.417908,5.815925,-25028180.37,-0.2886563666,2018/9/17 17:24:47,100528474.78
000793,016039,10001090,华闻传媒,文化传媒,002,001,2,szzb,2018-09-15T00:00:00,2018-06-30T00:00:00,81853261.61,1437139239.25,1533399071.52,0.215802260218965,1036539193.12,0.215059884883011,175312424.56,188057895.28,107469016.07,115138223.51,119432905.85,28286831.5,-,-,-,-,-,13695502.48,-,-,-,-,-,-,-,-,-0.02466,-0.758209,-0.772314,-102325956.24,-1.7598692641,2018/9/14 19:58:15,1036539193.12
600881,016004,10000830,亚泰集团,水泥建材,002,001,2,shzb,2018-09-13T00:00:00,2018-06-30T00:00:00,79536505.99,6422911985.32,6581285307.68,0.234071010938253,4540224627.63,0.216650725631577,562605209.0,535848673.93,848552903.45,142344271.04,139672818.76,125057365.17,-,-,-,-,-,131528019.12,-,-,-,-,-,-,-,-,0.24652,0.427761,0.122546,73408974.36,0.1009578754,2018/9/12 15:43:10,4540224627.63
000957,016035,10001209,中通客车,汽车行业,002,001,2,szzb,2018-09-13T00:00:00,2018-06-30T00:00:00,30562017.46,2401345517.82,2408737187.3,0.0670694657792037,2051106448.25,0.0657906272048535,136122144.2,127660774.92,59184807.44,18397458.66,34894746.72,4332729.26,-,-,-,-,-,14706501.67,-,-,-,-,-,-,-,-,0.05372,-0.726013,-0.503602,-5359594.21,-1.3138461778,2018/9/12 15:42:09,2051106448.25
601113,016026,80172455,华鼎股份,化纤行业,002,001,2,shzb,2018-09-13T00:00:00,2018-06-30T00:00:00,128933382.48,2478360663.77,2327357697.44,0.906058929436906,1918961594.06,0.702970563194482,305211563.23,115468532.46,-26503952.67,152679595.59,152911252.77,21961770.01,-,-,-,-,-,13839480.51,-,-,-,-,-,-,-,-,1.014482,4.796241,4.560133,122519038.98,1299.7840223993,2018/9/12 17:05:41,1918961594.06
600090,016047,10000063,同济堂,医疗行业,002,001,2,shzb,2018-09-12T00:00:00,2018-06-30T00:00:00,229065211.1,5173800332.46,4834516207.27,0.148724726223703,4492484275.78,0.139905878011198,225074275.51,65911627.42,15640702.37,339230474.4,337957203.38,94169102.62,-,-,-,-,-,20064866.04,-,-,-,-,-,-,-,-,0.124417,-0.142872,-0.066949,230066723.08,-0.0574149805,2018/9/11 16:40:05,4492484275.78
300749,016030,80199131,顶固集创,木业家具,002,001,2,cyb,2018-09-12T00:00:00,2018-06-30T00:00:00,24272486.13,316838665.84,294992768.32,0.0153558934897236,196411884.42,0.0555380858927897,42329497.73,49745151.6,1675095.42,28827510.14,28486932.34,4215072.29,-,-,-,-,-,3093336.2,-,-,-,-,-,-,-,-,0.06329,2.855688,3.520443,18595798.88,2.7726752245,2018/9/12 0:10:21,196411884.42
600060,016019,10000033,海信电器,家电行业,002,001,2,shzb,2018-09-11T00:00:00,2018-06-30T00:00:00,347161744.28,14012258299.14,13797279810.52,0.0400895298104298,11923518660.75,0.0189924937058078,1115882077.34,601245869.65,49066320.33,448260136.57,456104819.6,67995065.9,-,-,-,-,-,102240418.34,-,-,-,-,-,-,-,-,0.032847,-0.035046,-0.123382,229850322.01,-0.2835707132,2018/9/10 16:01:32,11923518660.75
