scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
000979,016017,10001229,中弘股份,房地产,szzb,002,001,2,2018-09-18T00:00:00,2018-06-30T00:00:00,45142032327.7,665739329.96,938071963.88,-0.759300939352505,298146761.26,-0.816886895618343,25216225645.07,0.119464123776162,37731509862.83,2046119994.24,0.593594208919265,2704562621.58,2.47284106753751,7410522464.87,-0.282559422792972,0.245043,0.455225,0.01754703,0.8358398574,-,-,-,-,203085826.08,-0.886051473516926,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-17T18:35:50
300150,016014,10002559,世纪瑞尔,电子信息,cyb,002,001,2,2018-09-17T00:00:00,2018-06-30T00:00:00,2335652631.02,59003281.14,457478919.27,-0.12500872573855,587170019.3,0.419550942399002,248694702.42,0.330200887985067,292562087.63,127351853.3,0.326971989157835,8735464.64,0.060901465475258,2043090543.39,0.342025447134646,0.312735,0.139117,0.0475962,0.1252592461,-,-,-,-,800000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-18T10:27:11
000793,016039,10001090,华闻传媒,文化传媒,szzb,002,001,2,2018-09-15T00:00:00,2018-06-30T00:00:00,16587467647.23,584068562.43,2350308597.38,0.49238111478282,773877508.01,-0.186124031382156,599872186.92,1.75961708508661,6468322497.71,369991293.14,0.701847792719365,343283968.44,0.114039574699152,10119145149.52,-0.014149041541459,0.273122,1.339702,0.03811992,0.3899523806,-,-,-,-,2576223902.89,-0.280188206741238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-14T19:58:15
600881,016004,10000830,亚泰集团,水泥建材,shzb,002,001,2,2018-09-13T00:00:00,2018-06-30T00:00:00,56115100428.92,12599046887.4,6173757242.38,-0.290439227343337,6330827424.13,2.21937959799323,7885813898.67,-0.0629450611319024,37012881078.8,2418449732.98,0.066604101019648,1638858230.55,-0.0578693179081142,19102219350.12,0.10129379771037,0.019851,-0.017643,0.00976446,0.6595886098,-,-,-,-,1154000000.0,40.2142857142857,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-12T15:44:44
601113,016026,80172455,华鼎股份,化纤行业,shzb,002,001,2,2018-09-13T00:00:00,2018-06-30T00:00:00,8610860138.49,1369046423.16,1395577606.82,0.354040332318787,641926605.98,1.25400967257383,1011727587.78,3.31536211766652,2956925095.28,469177202.78,1.3222024153259,92327639.32,1.74689965829997,5653935043.21,1.01732073861449,0.952205,0.83872,0.01991465,0.3433948581,-,-,-,-,24080800.0,0.00336666666666667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-12T17:06:12
000957,016035,10001209,中通客车,汽车行业,szzb,002,001,2,2018-09-13T00:00:00,2018-06-30T00:00:00,12045396687.45,1153646915.8,1933594077.03,0.326073078656831,6158488491.11,0.326861503905327,252273950.65,-0.587534016433924,9342275202.5,2816940301.06,-0.0978221518810079,156840750.86,0.727522043806011,2703121484.95,0.0190263729050693,0.255267,0.345522,0.01304634,0.7755888365,-,-,-,-,300000.0,-0.994694960212202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-12T15:42:09
300749,016030,80199131,顶固集创,木业家具,cyb,002,001,2,2018-09-12T00:00:00,2018-06-30T00:00:00,667264773.82,215428023.32,124741530.23,0.31881479477826,61959580.36,0.0795593935064921,121211837.63,0.166470658620089,293807505.8,87636045.21,0.193301250513393,29894097.77,0.184713889584878,373457268.02,0.332614774383071,0.0434,-0.182201,0.01275285,0.4403162243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-12T00:09:50
600090,016047,10000063,同济堂,医疗行业,shzb,002,001,2,2018-09-12T00:00:00,2018-06-30T00:00:00,8532354879.45,1161542203.86,1030424981.44,-0.580706229921896,3210495221.8,1.15465447881388,588695029.35,0.365383611937117,2250940345.52,558648961.67,0.545022318842746,67363874.53,2.54473379450579,6281414533.93,0.093953769846397,0.171305,0.459236,0.03386213,0.2638123211,-,-,-,-,8745884.33,0.628859409785733,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-11T16:40:05
603585,016041,80390744,苏利股份,化工行业,shzb,002,001,2,2018-09-11T00:00:00,2018-06-30T00:00:00,2189772163.68,366304302.63,1116137195.54,0.414756264240457,280589224.66,-0.0379971490235946,178001438.57,0.1158673289484,196091569.6,81494559.65,-0.214346370787993,6287426.76,0.421220052388804,1993680594.08,0.156577120275232,0.13495,-0.046357,0.08752133,0.0895488457,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-10T17:22:08
002937,016022,80650873,兴瑞科技,电子元件,zxb,002,001,2,2018-09-11T00:00:00,2018-06-30T00:00:00,644164846.27,154795519.95,73175261.5,-,-,-,66170185.91,-,268115914.82,-,-,765152.61,-,376048931.45,-,-,-,0.01610113,0.4162225188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-11T00:24:13
