scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
2098,浔兴股份,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.1014,-,1143745988,64.0063,14.0985,36292326.76,-43.465,901.2493,2.93,3.48864382,0.090555,35.9827,化纤行业,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
2089,新海宜,A股,深交所中小板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0097,-,191011608.2,-69.3029,11.7768,13310353.74,-76.2403,-126.8956,0.76,1.27567782,0.044526,30.8078,通讯行业,不分配不转增,-,58001001,69001002003,2018-08-31T00:00:00
601669,中国电建,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.2652,-,1.26889E+11,5.3064,4.8799,4057301976,9.1625,11.5409,5.38,4.92882928,-0.87898,14.4725,工程建设,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601727,上海电气,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.1199,-,51273997000,24.378,78.3606,1766023000,13.0248,68.6293,3.14,3.83200607,-0.780824,19.4842,输配电气,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601111,中国国航,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.25,-,64242322000,11.9582,3.255,3468519000,4.2718,-68.0269,3.92,6.16306493,0.90844,15.5508,民航机场,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601126,四方股份,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0415,-,1310984059,10.5331,59.7798,33727136.34,3.1483,382.8171,0.86,4.72014487,-0.12498,43.666,输配电气,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
601857,中国石油,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.148,-,1.10882E+12,13.6194,4.3331,27086000000,113.7131,66.8571,2.24,6.60304009,0.798586,21.4673,石油行业,"10派0.888元(含税,扣税后0.7992元)",0.010737606,58001001,69001001001,2018-08-31T00:00:00
679,大连友谊,A股,深交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,-0.209,-,529624394.7,-52.4295,-14.328,-74646498.54,-846.0163,-1345.3524,-5.16,3.58178874,-0.13635,17.595,商业百货,不分配不转增,-,58001001,69001002001,2018-08-31T00:00:00
518,四环生物,A股,深交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.001,-,180903654.7,-8.3146,10.2636,1028739.53,-94.6119,-171.1462,0.16,0.6115897,0.018484,75.6809,医药制造,不分配不转增,-,58001001,69001002001,2018-08-31T00:00:00
517,荣安地产,A股,深交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.0548,-,1268224530,-65.7121,1148.4751,174560991.5,-62.8353,625.3941,4.04,1.35973168,0.284307,36.2305,房地产,不分配不转增,-,58001001,69001002001,2018-08-31T00:00:00
504,南华生物,A股,深交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,-0.0496,-,36003051.65,153.6407,10.5827,-15449940.11,-28.3602,-12.6433,-91.32,0.02950011,-0.023374,66.9688,环保工程,不分配不转增,-,58001001,69001002001,2018-08-31T00:00:00
600887,伊利股份,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.57,-,39942748005,19.2552,2.2104,3445830923,2.4292,-35.9312,12.79,4.03335828,0.86908,38.6705,食品饮料,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
600877,ST嘉陵,A股,上交所风险警示板,2018-08-31T00:00:00,2018-06-30T00:00:00,-0.2331,-,201155231,-35.7553,4.657,-160224288.3,-312.8102,80.4108,-,-0.21524595,-0.125326,1.8375,交运设备,不分配不转增,-,58001001,69001001003,2018-08-31T00:00:00
600875,东方电气,A股,上交所主板,2018-08-31T00:00:00,2018-06-30T00:00:00,0.17,-,16541974641,7.5666,50.8585,514298835.5,5.8146,40.7558,1.93,8.83943479,0.239535,16.1093,输配电气,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
